78,50,66,75,77,75,75,68,75,77,5,7,19,15,10,2
55,67,69,58,59,67,47,25,20,21,7,12,31,10,15,0
63,46,56,68,74,65,63,62,64,61,6,14,6,9,14,1
39,36,68,54,49,33,59,68,72,75,9,16,21,13,15,1
62,41,53,58,64,51,66,62,64,65,12,12,15,13,13,0
59,48,69,74,67,76,82,80,80,83,4,14,22,7,12,2
70,65,57,79,70,66,69,61,63,69,10,13,19,12,14,2
68,64,62,67,79,71,47,32,40,34,12,13,18,11,9,1
50,42,73,62,62,44,68,72,73,72,8,9,18,12,14,2
47,69,61,59,77,74,30,30,43,40,8,10,13,15,7,2
74,63,57,70,82,69,37,23,29,21,5,10,20,8,10,2
52,64,65,56,64,64,39,25,25,23,7,10,25,9,12,0
68,71,66,66,87,80,26,24,24,24,15,9,5,13,6,2
55,24,77,57,64,74,67,72,74,77,9,11,20,10,11,2
51,41,56,61,69,61,61,70,68,58,7,14,36,16,17,1
20,18,18,22,44,32,26,18,19,18,73,66,67,70,75,2
54,22,53,62,63,38,68,65,65,66,15,15,14,7,9,0
54,71,63,52,72,73,35,17,21,15,5,16,22,15,14,1
38,67,65,55,63,71,29,21,30,23,8,5,11,15,15,0
14,13,15,36,45,33,25,17,18,17,65,65,73,73,61,1
25,25,25,25,44,25,25,25,25,25,70,59,46,60,71,0
55,78,76,65,73,79,43,34,34,25,12,13,15,9,16,2
51,58,49,61,69,46,45,21,32,30,6,17,15,11,17,0
19,17,21,21,45,28,35,16,17,14,68,67,64,71,73,1
48,60,74,50,55,68,37,22,30,26,6,12,27,14,17,0
59,68,53,60,79,72,24,27,38,34,12,15,8,5,8,1
64,67,56,68,75,66,31,19,19,16,5,14,13,8,14,1
69,29,61,69,76,45,72,69,75,75,14,15,13,15,5,1
63,51,59,67,69,69,50,54,49,43,9,15,46,19,16,0
21,17,17,24,50,18,28,16,15,11,70,61,63,62,72,0
59,74,53,65,76,73,30,20,20,16,6,7,13,12,11,2
57,54,42,53,67,55,40,51,48,43,6,13,16,10,8,0
62,60,50,77,66,81,63,54,65,66,11,13,26,13,11,1
54,33,63,58,58,54,65,64,64,66,11,9,21,9,10,0
57,69,80,55,60,76,51,32,33,44,11,15,26,13,15,1
72,47,68,61,65,53,71,69,73,75,9,9,20,14,9,2
59,53,68,78,64,60,71,61,68,59,10,14,16,14,15,2
44,71,64,50,64,67,26,23,22,23,6,7,15,15,9,1
62,26,64,59,73,58,65,66,65,65,13,14,32,15,15,1
47,48,46,68,67,71,65,58,69,60,5,16,23,10,12,1
22,18,77,54,50,43,66,71,72,63,8,11,29,15,12,1
55,69,67,55,74,73,35,20,20,15,11,11,18,8,12,1
59,42,58,64,70,58,54,63,66,62,7,13,37,13,14,0
68,64,53,69,72,67,59,21,34,21,8,13,19,13,9,1
55,68,63,58,67,68,24,24,27,25,13,7,12,11,5,1
60,66,59,62,72,66,37,24,22,32,10,8,17,14,13,1
53,69,49,59,72,64,50,31,28,32,13,19,35,18,18,0
55,43,67,64,52,56,60,60,62,54,6,11,19,14,8,0
68,61,56,79,58,77,60,45,48,41,13,14,17,13,11,2
67,61,45,61,68,70,47,30,24,32,9,15,26,14,15,1
47,36,74,60,52,66,57,65,69,65,7,13,16,11,8,1
66,63,38,73,77,62,32,20,29,23,13,16,24,10,13,2
23,23,23,37,47,23,25,23,24,24,71,70,71,73,73,2
43,23,74,60,66,58,80,82,81,79,6,7,14,8,9,2
17,12,17,41,35,39,18,17,19,15,64,67,66,74,66,1
62,72,72,64,71,74,24,23,25,20,6,11,10,10,7,1
59,66,67,70,66,68,52,51,59,57,6,8,16,11,8,1
70,65,62,67,82,73,38,32,41,41,13,8,14,10,11,2
21,16,19,37,48,18,26,18,21,19,72,71,69,75,76,2
77,79,49,81,93,78,37,21,38,31,5,11,15,9,9,3
15,16,20,34,44,22,23,17,19,13,69,65,63,69,69,1
31,21,66,59,61,43,66,71,72,74,12,13,19,13,9,1
68,74,58,75,73,74,32,32,22,47,8,11,16,16,12,2
23,23,28,28,52,26,23,23,23,23,58,64,60,63,59,0
53,28,62,67,60,54,54,62,66,67,6,17,27,13,17,0
63,53,40,60,79,42,53,50,50,51,9,9,15,11,8,0
64,67,46,62,80,60,39,30,34,32,11,12,15,14,15,1
54,35,68,39,57,69,53,63,68,64,11,14,16,17,15,0
55,64,59,57,80,63,21,20,27,26,5,13,11,5,8,0
57,56,45,62,81,68,40,45,46,39,7,11,5,9,14,0
63,55,47,63,60,58,23,21,27,33,13,7,15,15,15,0
